equipment,ip_address,incident_time
32006-Eltex1,172.16.9.58,2024-10-08 15:08:13
31012-Eltex1,172.16.10.70,2024-10-08 15:10:14
31012-Eltex2,172.20.10.70,2024-10-08 15:10:14
31012-Eltex2,172.20.10.70,2024-10-08 15:10:14
31012-Eltex1,172.16.10.70,2024-10-08 15:15:14
31012-Eltex1,172.16.10.70,2024-10-08 15:10:33
15001-Eltex2,172.20.11.214,2024-10-08 15:32:15
26003-Eltex2,172.20.11.150,2024-10-08 15:32:20
32010-Eltex2,172.20.32.126,2024-10-08 15:41:13
03008-Eltex2,172.20.25.130,2024-10-08 15:45:14
32010-Eltex2,172.20.32.126,2024-10-08 15:52:13
03008-Eltex1,172.16.25.130,2024-10-08 15:59:14
72042-s-terra1,198.18.30.150,2024-10-08 16:00:12
72042-Eltex1,172.16.28.150,2024-10-08 15:45:32
72042-Eltex2,172.20.28.150,2024-10-08 15:45:32
72042-Eltex2,172.20.28.150,2024-10-08 16:00:19
11005-s-terra2,198.18.136.142,2024-10-08 16:21:30
11005-s-terra2,198.18.136.142,2024-10-08 16:25:15
11005-s-terra2,198.18.136.142,2024-10-08 16:30:15
03008-Eltex2,172.20.25.130,2024-10-08 15:56:14
03008-Eltex1,172.16.25.130,2024-10-08 15:56:14
72001-Eltex1,172.16.24.242,2024-10-08 16:49:15
36005-s-terra2,198.18.142.58,2024-10-08 17:26:15
36005-Eltex2,172.20.12.58,2024-10-08 17:36:12
36005-s-terra2,198.18.142.58,2024-10-08 17:42:13
36005-s-terra2,198.18.142.58,2024-10-08 17:49:12
36005-Eltex2,172.20.12.58,2024-10-08 18:00:13
36005-s-terra2,198.18.142.58,2024-10-08 18:19:13
54039-Eltex2,172.20.20.98,2024-10-08 18:24:13
36005-s-terra2,198.18.142.58,2024-10-08 17:40:15
36005-Eltex2,172.20.12.58,2024-10-08 17:40:15
36005-s-terra2,198.18.142.58,2024-10-08 18:41:13
36005-s-terra2,198.18.142.58,2024-10-08 18:44:12
11009-Eltex2,172.20.27.198,2024-10-08 18:42:17
36005-Eltex2,172.20.12.58,2024-10-08 17:30:34
36005-Eltex2,172.20.12.58,2024-10-08 17:40:40
36005-s-terra2,198.18.142.58,2024-10-08 19:05:12
36005-Eltex2,172.20.12.58,2024-10-08 19:05:12
36005-Eltex2,172.20.12.58,2024-10-08 19:05:12
36005-s-terra2,198.18.142.58,2024-10-08 19:12:13
36005-Eltex2,172.20.12.58,2024-10-08 19:12:13
36005-Eltex2,172.20.12.58,2024-10-08 19:12:13
36005-s-terra2,198.18.142.58,2024-10-08 19:38:18
36005-Eltex2,172.20.12.58,2024-10-08 19:38:18
36005-Eltex2,172.20.12.58,2024-10-08 19:38:18
64025-Eltex2,172.20.13.74,2024-10-08 18:55:15
62006-Eltex1,172.16.12.10,2024-10-08 19:00:14
36005-s-terra2,198.18.142.58,2024-10-08 19:45:12
36005-Eltex2,172.20.12.58,2024-10-08 19:45:12
36005-Eltex2,172.20.12.58,2024-10-08 19:45:12
36005-s-terra2,198.18.142.58,2024-10-08 19:20:15
36005-Eltex2,172.20.12.58,2024-10-08 19:20:15
36005-Eltex2,172.20.12.58,2024-10-08 20:05:14
36005-Eltex2,172.20.12.58,2024-10-08 20:10:15
36005-s-terra2,198.18.142.58,2024-10-08 20:15:13
36005-Eltex2,172.20.12.58,2024-10-08 20:15:13
36005-Eltex2,172.20.12.58,2024-10-08 20:15:13
36005-s-terra2,198.18.142.58,2024-10-08 20:30:13
36005-Eltex2,172.20.12.58,2024-10-08 20:30:13
36005-Eltex2,172.20.12.58,2024-10-08 20:30:13
36005-s-terra2,198.18.142.58,2024-10-08 20:50:13
36005-Eltex2,172.20.12.58,2024-10-08 20:50:13
36005-Eltex2,172.20.12.58,2024-10-08 20:50:13
11009-Eltex2,172.20.27.198,2024-10-08 20:54:18
36005-s-terra2,198.18.142.58,2024-10-08 21:00:13
36005-Eltex2,172.20.12.58,2024-10-08 21:00:13
36005-Eltex2,172.20.12.58,2024-10-08 21:00:13
36005-s-terra2,198.18.142.58,2024-10-08 21:15:12
36005-Eltex2,172.20.12.58,2024-10-08 21:15:12
36005-Eltex2,172.20.12.58,2024-10-08 21:15:12
36005-s-terra2,198.18.142.58,2024-10-08 21:22:12
36005-Eltex2,172.20.12.58,2024-10-08 21:22:12
36005-Eltex2,172.20.12.58,2024-10-08 21:22:12
36005-s-terra2,198.18.142.58,2024-10-08 21:54:13
36005-Eltex2,172.20.12.58,2024-10-08 21:54:13
